State_Or_UT,Years,Cause,Male_upto_14_years,Male_15_to_29_years,Male_30_to_44_years,Male_45_to_59_years,Male_above_60_years,Total_Male,Female_upto_14_years,Female_15_to_29_years,Female_30_to_44_years,Female_45_to_59_years,Female_above_60_years,Total_Female,Grand_Total,Age_upto_14_years,Age_15_to_29_years,Age_30_to_44_years,Age_45_to_59_years,Age_above_60_years
ANDHRA PRADESH,2003,Fall in Social Reputation,1,11,29,20,5,66,3,9,13,6,1,32,98,4,20,42,26,6
ANDHRA PRADESH,2003,Family Problems,31,494,625,293,78,1521,34,332,334,150,33,883,2404,65,826,959,443,111
ANDHRA PRADESH,2003,Ideological Causes/Hero Worshipping,0,11,30,14,5,60,2,19,4,3,0,28,88,2,30,34,17,5
ANDHRA PRADESH,2003,Illegitimate Pregnancy,0,0,0,0,0,0,0,20,3,0,0,23,23,0,20,3,0,0
ANDHRA PRADESH,2003,Love Affairs,6,119,31,1,0,157,2,80,16,1,0,99,256,8,199,47,2,0
ANDHRA PRADESH,2003,"Physical Abuse (Rape,Incest Etc.)",0,6,25,0,0,31,3,12,4,0,0,19,50,3,18,29,0,0
ANDHRA PRADESH,2003,Poverty,11,125,249,161,22,568,5,38,54,18,12,127,695,16,163,303,179,34
ANDHRA PRADESH,2003,Professional/Career Problem,0,0,19,10,1,30,0,2,6,2,3,13,43,0,2,25,12,4
ANDHRA PRADESH,2003,Property Dispute,0,29,59,41,7,136,1,12,25,8,2,48,184,1,41,84,49,9
ANDHRA PRADESH,2003,Unemployment,0,52,39,4,0,95,0,7,10,0,0,17,112,0,59,49,4,0
ANDHRA PRADESH,2003,Causes Not known,27,200,208,117,40,592,27,92,52,32,19,222,814,54,292,260,149,59
ANDHRA PRADESH,2003,Other Causes,30,422,457,279,78,1266,30,175,119,67,34,425,1691,60,597,576,346,112
ANDHRA PRADESH,2003,Total,155,2270,2846,1745,497,7513,197,1685,1204,609,201,3896,11409,352,3955,4050,2354,698
ANDHRA PRADESH,2003,Total Illness,28,603,865,686,250,2432,58,516,455,296,93,1418,3850,86,1119,1320,982,343
ANDHRA PRADESH,2004,Bankruptcy,0,120,331,196,38,685,0,19,19,23,5,66,751,0,139,350,219,43
ANDHRA PRADESH,2004,Suspected/Illicit Relation,0,31,29,6,0,66,1,33,19,6,0,59,125,1,64,48,12,0
ANDHRA PRADESH,2004,Cancellation/Non-Settlement of Marriage,0,16,4,0,1,21,0,19,2,0,0,21,42,0,35,6,0,1
ANDHRA PRADESH,2004,Infertility,0,0,5,6,0,11,0,22,17,3,0,42,53,0,22,22,9,0
ANDHRA PRADESH,2004,Illness (Aids/STD),1,77,89,36,23,226,7,82,51,12,6,158,384,8,159,140,48,29
ANDHRA PRADESH,2004,Cancer,0,4,47,25,10,86,0,8,18,24,4,54,140,0,12,65,49,14
ANDHRA PRADESH,2004,Paralysis,0,0,3,19,18,40,0,5,14,8,9,36,76,0,5,17,27,27
ANDHRA PRADESH,2004,Insanity/Mental Illness,2,79,170,137,33,421,5,82,92,43,17,239,660,7,161,262,180,50
ANDHRA PRADESH,2004,Other Prolonged Illness,8,463,553,356,195,1575,29,438,344,165,70,1046,2621,37,901,897,521,265
ANDHRA PRADESH,2004,Death of Dear Person,0,8,16,20,12,56,0,9,5,1,6,21,77,0,17,21,21,18
ANDHRA PRADESH,2004,Dowry Dispute,0,4,2,0,2,8,0,223,57,5,0,285,293,0,227,59,5,2
ANDHRA PRADESH,2004,Divorce,0,4,1,4,0,9,0,6,5,1,0,12,21,0,10,6,5,0
ANDHRA PRADESH,2004,Drug Abuse/Addiction,0,19,18,9,1,47,0,0,2,3,0,5,52,0,19,20,12,1
ANDHRA PRADESH,2004,Failure in Examination,8,90,16,0,0,114,16,52,7,0,0,75,189,24,142,23,0,0
ANDHRA PRADESH,2004,Fall in Social Reputation,0,5,24,7,7,43,0,3,2,6,0,11,54,0,8,26,13,7
ANDHRA PRADESH,2004,Family Problems,21,534,674,367,76,1672,26,433,299,112,35,905,2577,47,967,973,479,111
ANDHRA PRADESH,2004,Ideological Causes/Hero Worshipping,0,2,1,0,0,3,2,1,1,0,0,4,7,2,3,2,0,0
ANDHRA PRADESH,2004,Illegitimate Pregnancy,0,0,0,0,0,0,0,12,1,0,0,13,13,0,12,1,0,0
ANDHRA PRADESH,2004,Love Affairs,1,139,32,11,0,183,7,95,11,1,0,114,297,8,234,43,12,0
ANDHRA PRADESH,2004,"Physical Abuse (Rape,Incest Etc.)",0,1,2,0,0,3,0,6,12,2,0,20,23,0,7,14,2,0
ANDHRA PRADESH,2004,Poverty,4,191,392,360,101,1048,4,82,99,82,27,294,1342,8,273,491,442,128
ANDHRA PRADESH,2004,Professional/Career Problem,0,13,33,33,19,98,0,2,14,2,0,18,116,0,15,47,35,19
ANDHRA PRADESH,2004,Property Dispute,0,51,87,59,7,204,0,12,22,8,4,46,250,0,63,109,67,11
ANDHRA PRADESH,2004,Unemployment,0,51,65,25,0,141,0,9,8,1,0,18,159,0,60,73,26,0
ANDHRA PRADESH,2004,Causes Not known,10,200,256,172,93,731,10,94,68,42,31,245,976,20,294,324,214,124
ANDHRA PRADESH,2004,Other Causes,40,460,598,327,166,1591,35,212,155,139,96,637,2228,75,672,753,466,262
ANDHRA PRADESH,2004,Total,95,2562,3448,2175,802,9082,142,1959,1344,689,310,4444,13526,237,4521,4792,2864,1112
ANDHRA PRADESH,2004,Total Illness,11,623,862,573,279,2348,41,615,519,252,106,1533,3881,52,1238,1381,825,385
ANDHRA PRADESH,2005,Bankruptcy,2,163,363,221,49,798,2,30,44,22,3,101,899,4,193,407,243,52
ANDHRA PRADESH,2005,Suspected/Illicit Relation,0,17,9,5,4,35,1,11,23,2,0,37,72,1,28,32,7,4
ANDHRA PRADESH,2005,Cancellation/Non-Settlement of Marriage,0,19,1,0,0,20,1,20,3,1,0,25,45,1,39,4,1,0
ANDHRA PRADESH,2005,Infertility,0,2,2,0,0,4,0,21,13,4,0,38,42,0,23,15,4,0
ANDHRA PRADESH,2005,Illness (Aids/STD),6,87,157,105,47,402,12,161,76,38,27,314,716,18,248,233,143,74
ANDHRA PRADESH,2005,Cancer,0,18,13,37,21,89,0,3,2,21,36,62,151,0,21,15,58,57
ANDHRA PRADESH,2005,Paralysis,0,10,34,36,59,139,1,13,7,15,23,59,198,1,23,41,51,82
ANDHRA PRADESH,2005,Insanity/Mental Illness,1,101,204,122,64,492,5,103,110,73,39,330,822,6,204,314,195,103
ANDHRA PRADESH,2005,Other Prolonged Illness,17,368,405,369,196,1355,40,385,300,189,92,1006,2361,57,753,705,558,288
ANDHRA PRADESH,2005,Death of Dear Person,0,16,20,17,15,68,0,5,9,5,2,21,89,0,21,29,22,17
ANDHRA PRADESH,2005,Dowry Dispute,0,0,0,0,0,0,0,166,66,1,0,233,233,0,166,66,1,0
ANDHRA PRADESH,2005,Divorce,0,1,3,0,0,4,0,4,4,0,0,8,12,0,5,7,0,0
ANDHRA PRADESH,2005,Drug Abuse/Addiction,0,1,10,6,0,17,0,2,0,0,0,2,19,0,3,10,6,0
ANDHRA PRADESH,2005,Failure in Examination,5,107,15,2,0,129,12,91,4,0,0,107,236,17,198,19,2,0
ANDHRA PRADESH,2005,Fall in Social Reputation,0,7,3,22,2,34,0,3,3,1,0,7,41,0,10,6,23,2
ANDHRA PRADESH,2005,Family Problems,30,516,625,362,111,1644,36,387,298,155,92,968,2612,66,903,923,517,203
ANDHRA PRADESH,2005,Ideological Causes/Hero Worshipping,0,0,2,1,2,5,0,1,2,1,0,4,9,0,1,4,2,2
ANDHRA PRADESH,2005,Illegitimate Pregnancy,0,0,0,0,0,0,0,11,0,0,0,11,11,0,11,0,0,0
ANDHRA PRADESH,2005,Love Affairs,2,97,26,4,0,129,3,107,15,0,0,125,254,5,204,41,4,0
ANDHRA PRADESH,2005,"Physical Abuse (Rape,Incest Etc.)",0,1,0,1,0,2,1,1,0,1,0,3,5,1,2,0,2,0
ANDHRA PRADESH,2005,Poverty,3,164,303,299,117,886,4,54,87,58,30,233,1119,7,218,390,357,147
ANDHRA PRADESH,2005,Professional/Career Problem,0,2,1,1,0,4,0,0,0,0,0,0,4,0,2,1,1,0
ANDHRA PRADESH,2005,Property Dispute,2,28,41,33,5,109,1,4,17,15,1,38,147,3,32,58,48,6
ANDHRA PRADESH,2005,Unemployment,0,57,37,10,0,104,0,6,4,0,0,10,114,0,63,41,10,0
ANDHRA PRADESH,2005,Causes Not known,22,171,196,137,94,620,8,91,71,29,12,211,831,30,262,267,166,106
ANDHRA PRADESH,2005,Other Causes,53,491,708,366,158,1776,34,224,202,102,62,624,2400,87,715,910,468,220
ANDHRA PRADESH,2005,Total,143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,13442,304,4348,4538,2889,1363
ANDHRA PRADESH,2005,Total Illness,24,584,813,669,387,2477,58,665,495,336,217,1771,4248,82,1249,1308,1005,604
ANDHRA PRADESH,2006,Bankruptcy,2,142,354,252,63,813,0,34,62,23,12,131,944,2,176,416,275,75
ANDHRA PRADESH,2006,Suspected/Illicit Relation,0,11,21,1,0,33,1,22,16,0,0,39,72,1,33,37,1,0
ANDHRA PRADESH,2006,Cancellation/Non-Settlement of Marriage,0,13,5,1,0,19,0,40,9,1,0,50,69,0,53,14,2,0
ANDHRA PRADESH,2006,Infertility,0,2,4,2,0,8,0,22,13,2,0,37,45,0,24,17,4,0
ANDHRA PRADESH,2006,Illness (Aids/STD),0,78,109,36,25,248,9,95,66,22,4,196,444,9,173,175,58,29
ANDHRA PRADESH,2006,Cancer,0,27,16,15,7,65,2,4,23,2,1,32,97,2,31,39,17,8
ANDHRA PRADESH,2006,Paralysis,0,1,23,36,17,77,0,7,7,2,14,30,107,0,8,30,38,31
ANDHRA PRADESH,2006,Insanity/Mental Illness,12,133,140,129,49,463,38,118,97,33,26,312,775,50,251,237,162,75
ANDHRA PRADESH,2006,Other Prolonged Illness,35,492,571,411,212,1721,33,488,335,126,84,1066,2787,68,980,906,537,296
ANDHRA PRADESH,2006,Death of Dear Person,2,11,9,9,1,32,0,3,5,3,3,14,46,2,14,14,12,4
ANDHRA PRADESH,2006,Dowry Dispute,0,6,1,0,0,7,0,139,32,0,0,171,178,0,145,33,0,0
ANDHRA PRADESH,2006,Divorce,0,5,2,0,0,7,0,5,4,1,0,10,17,0,10,6,1,0
ANDHRA PRADESH,2006,Drug Abuse/Addiction,0,11,15,9,6,41,0,0,0,0,1,1,42,0,11,15,9,7
ANDHRA PRADESH,2006,Failure in Examination,12,99,12,0,0,123,7,83,0,0,0,90,213,19,182,12,0,0
ANDHRA PRADESH,2006,Fall in Social Reputation,0,7,11,8,2,28,3,8,7,3,0,21,49,3,15,18,11,2
ANDHRA PRADESH,2006,Family Problems,17,624,647,352,80,1720,28,446,275,97,34,880,2600,45,1070,922,449,114
ANDHRA PRADESH,2006,Ideological Causes/Hero Worshipping,0,2,3,0,0,5,1,1,0,0,0,2,7,1,3,3,0,0
ANDHRA PRADESH,2006,Illegitimate Pregnancy,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0
ANDHRA PRADESH,2006,Love Affairs,7,128,32,11,0,178,3,87,10,1,0,101,279,10,215,42,12,0
ANDHRA PRADESH,2006,"Physical Abuse (Rape,Incest Etc.)",0,0,3,1,0,4,0,3,1,1,0,5,9,0,3,4,2,0
ANDHRA PRADESH,2006,Poverty,11,142,362,229,40,784,17,52,67,74,26,236,1020,28,194,429,303,66
ANDHRA PRADESH,2006,Professional/Career Problem,0,22,22,22,6,72,0,1,13,2,0,16,88,0,23,35,24,6
ANDHRA PRADESH,2006,Property Dispute,1,38,77,29,4,149,1,8,8,2,2,21,170,2,46,85,31,6
ANDHRA PRADESH,2006,Unemployment,0,55,38,17,2,112,0,9,6,0,0,15,127,0,64,44,17,2
ANDHRA PRADESH,2006,Causes Not known,11,210,261,171,72,725,11,68,54,35,20,188,913,22,278,315,206,92
ANDHRA PRADESH,2006,Other Causes,59,437,540,291,102,1429,41,239,247,153,64,744,2173,100,676,787,444,166
ANDHRA PRADESH,2006,Total,169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,13276,364,4683,4635,2615,979
ANDHRA PRADESH,2006,Total Illness,47,731,859,627,310,2574,82,712,528,185,129,1636,4210,129,1443,1387,812,439
ANDHRA PRADESH,2007,Bankruptcy,0,115,324,200,109,748,1,36,31,25,1,94,842,1,151,355,225,110
ANDHRA PRADESH,2007,Suspected/Illicit Relation,0,24,22,2,2,50,1,19,15,0,0,35,85,1,43,37,2,2
ANDHRA PRADESH,2007,Cancellation/Non-Settlement of Marriage,0,12,2,0,0,14,1,36,6,0,0,43,57,1,48,8,0,0
ANDHRA PRADESH,2007,Infertility,0,6,6,4,0,16,0,22,8,6,0,36,52,0,28,14,10,0
ANDHRA PRADESH,2007,Illness (Aids/STD),3,58,101,48,58,268,2,43,71,56,9,181,449,5,101,172,104,67
ANDHRA PRADESH,2007,Cancer,1,22,36,22,42,123,0,2,33,10,12,57,180,1,24,69,32,54
ANDHRA PRADESH,2007,Paralysis,0,1,16,31,27,75,0,2,17,19,21,59,134,0,3,33,50,48
ANDHRA PRADESH,2007,Insanity/Mental Illness,9,151,241,206,74,681,20,176,104,61,40,401,1082,29,327,345,267,114
ANDHRA PRADESH,2007,Other Prolonged Illness,23,500,585,406,188,1702,32,492,310,153,95,1082,2784,55,992,895,559,283
ANDHRA PRADESH,2007,Death of Dear Person,0,8,12,1,1,22,2,8,2,3,3,18,40,2,16,14,4,4
ANDHRA PRADESH,2007,Dowry Dispute,0,0,0,0,0,0,0,177,24,2,0,203,203,0,177,24,2,0
ANDHRA PRADESH,2007,Divorce,0,1,2,0,0,3,0,1,2,0,0,3,6,0,2,4,0,0
ANDHRA PRADESH,2007,Drug Abuse/Addiction,0,8,19,8,6,41,0,1,3,0,0,4,45,0,9,22,8,6
ANDHRA PRADESH,2007,Failure in Examination,10,103,15,0,0,128,23,69,2,8,0,102,230,33,172,17,8,0
ANDHRA PRADESH,2007,Fall in Social Reputation,2,8,12,2,2,26,0,5,6,2,0,13,39,2,13,18,4,2
ANDHRA PRADESH,2007,Family Problems,20,620,702,374,91,1807,31,384,286,122,30,853,2660,51,1004,988,496,121
ANDHRA PRADESH,2007,Ideological Causes/Hero Worshipping,0,1,4,1,0,6,0,1,0,0,0,1,7,0,2,4,1,0
ANDHRA PRADESH,2007,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
ANDHRA PRADESH,2007,Love Affairs,6,135,51,1,0,193,16,103,4,0,0,123,316,22,238,55,1,0
ANDHRA PRADESH,2007,"Physical Abuse (Rape,Incest Etc.)",0,4,1,0,0,5,2,5,1,0,0,8,13,2,9,2,0,0
ANDHRA PRADESH,2007,Poverty,7,182,395,275,109,968,3,46,96,77,15,237,1205,10,228,491,352,124
ANDHRA PRADESH,2007,Professional/Career Problem,0,21,70,29,5,125,1,16,9,3,1,30,155,1,37,79,32,6
ANDHRA PRADESH,2007,Property Dispute,0,34,52,31,12,129,2,11,11,0,2,26,155,2,45,63,31,14
ANDHRA PRADESH,2007,Unemployment,0,77,93,57,0,227,7,38,11,3,0,59,286,7,115,104,60,0
ANDHRA PRADESH,2007,Causes Not known,10,274,294,207,86,871,13,146,97,74,48,378,1249,23,420,391,281,134
ANDHRA PRADESH,2007,Other Causes,30,571,605,399,116,1721,37,299,301,180,69,886,2607,67,870,906,579,185
ANDHRA PRADESH,2007,Total,121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,14882,315,5075,5110,3108,1274
ANDHRA PRADESH,2007,Total Illness,36,732,979,713,389,2849,54,715,535,299,177,1780,4629,90,1447,1514,1012,566
ANDHRA PRADESH,2008,Bankruptcy,0,104,271,158,45,578,0,20,36,21,6,83,661,0,124,307,179,51
ANDHRA PRADESH,2008,Suspected/Illicit Relation,0,18,26,6,0,50,0,13,19,0,0,32,82,0,31,45,6,0
ANDHRA PRADESH,2008,Cancellation/Non-Settlement of Marriage,0,26,8,0,0,34,0,26,2,0,0,28,62,0,52,10,0,0
ANDHRA PRADESH,2008,Infertility,0,1,6,3,1,11,0,16,25,6,0,47,58,0,17,31,9,1
ANDHRA PRADESH,2008,Illness (Aids/STD),1,16,75,130,23,245,0,12,52,38,5,107,352,1,28,127,168,28
ANDHRA PRADESH,2008,Cancer,0,7,8,14,8,37,0,1,12,5,0,18,55,0,8,20,19,8
ANDHRA PRADESH,2008,Paralysis,0,5,12,25,61,103,0,10,5,4,9,28,131,0,15,17,29,70
ANDHRA PRADESH,2008,Insanity/Mental Illness,8,141,239,149,80,617,12,155,95,73,45,380,997,20,296,334,222,125
ANDHRA PRADESH,2008,Other Prolonged Illness,9,437,644,440,168,1698,16,503,393,144,114,1170,2868,25,940,1037,584,282
ANDHRA PRADESH,2008,Death of Dear Person,0,2,2,7,3,14,0,2,3,6,1,12,26,0,4,5,13,4
ANDHRA PRADESH,2008,Dowry Dispute,0,4,0,0,0,4,0,112,29,8,0,149,153,0,116,29,8,0
ANDHRA PRADESH,2008,Divorce,0,3,6,6,0,15,0,6,7,1,0,14,29,0,9,13,7,0
ANDHRA PRADESH,2008,Drug Abuse/Addiction,0,13,20,13,1,47,0,1,2,0,0,3,50,0,14,22,13,1
ANDHRA PRADESH,2008,Failure in Examination,13,131,4,0,0,148,12,62,0,1,0,75,223,25,193,4,1,0
ANDHRA PRADESH,2008,Fall in Social Reputation,0,9,25,14,5,53,3,0,1,1,0,5,58,3,9,26,15,5
ANDHRA PRADESH,2008,Family Problems,5,584,715,371,84,1759,24,351,347,103,38,863,2622,29,935,1062,474,122
ANDHRA PRADESH,2008,Ideological Causes/Hero Worshipping,0,0,2,1,2,5,0,0,0,2,1,3,8,0,0,2,3,3
ANDHRA PRADESH,2008,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,7,0,0
ANDHRA PRADESH,2008,Love Affairs,0,120,21,0,0,141,10,93,17,2,0,122,263,10,213,38,2,0
ANDHRA PRADESH,2008,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
ANDHRA PRADESH,2008,Poverty,3,238,431,394,95,1161,5,127,126,71,15,344,1505,8,365,557,465,110
ANDHRA PRADESH,2008,Professional/Career Problem,0,25,56,60,18,159,2,18,10,14,2,46,205,2,43,66,74,20
ANDHRA PRADESH,2008,Property Dispute,0,14,40,37,2,93,0,10,7,6,1,24,117,0,24,47,43,3
ANDHRA PRADESH,2008,Unemployment,0,55,27,1,0,83,0,6,2,0,0,8,91,0,61,29,1,0
ANDHRA PRADESH,2008,Causes Not known,8,185,215,156,40,604,5,65,53,28,13,164,768,13,250,268,184,53
ANDHRA PRADESH,2008,Other Causes,44,576,816,492,134,2062,33,272,334,204,57,900,2962,77,848,1150,696,191
